,river name,latitude,longitude,"annual count, mean","annual count, standard deviation","fork length, mean","fork length, standard deviation",number of years sampled,"years sampled, inclusive",age percentage breakdown
0,Conne River,47.868005,-55.705978,184.44444444444446,154.61573463533844,512.0986832083333,7.39742559472512,36,"1980, 1986-2020",age 1: 100%
1,English River,54.96288400000001,-59.762211,125.35,84.17605297670379,536.933995975,9.029696593913348,20,2000-2019,age 1: 100%
2,Exploits River,49.088976,-55.354689,166.75862068965517,147.07302733492,533.9404812103448,10.668929387969822,29,"1983-1986, 1992, 1994-1996, 1998-2003, 2006-2020",age 1: 100%
3,Gander River,49.260019,-54.499243,101.55555555555556,87.69116080050304,541.3034759916667,18.186350815850634,36,"1978-1982, 1984-2010, 2012-2013, 2017, 2021",age 1: 100%
4,Harry's River,48.507227,-58.506807,49.65217391304348,25.47121137079374,519.5938955826086,16.69533124191323,23,"1979, 1990, 1992-1998, 2000-2010, 2013-2015",age 1: 100%
5,LaHave River,44.53333,-64.71667,152.32051282051282,163.99251595132412,631.0790824961538,91.02013073813437,41,"1978-1987, 1989, 1991-2019, 2021","age 1: 51%, age 2: 49%"
6,Middle Brook,48.794529,-54.291912,40.45945945945946,31.752160551680568,531.4360366891891,21.65956193196026,37,"1978, 1981-2001, 2003-2005, 2008-2013, 2015-2018, 2020-2021",age 1: 100%
7,Miramichi River,46.93316907,-65.65078752,707.4554455445544,586.9672141568466,647.4919904049505,105.09803924012331,51,1971-2021,"age 1: 50%, age 2: 50%"
8,Nashwaak River,46.117667,-66.589062,102.71666666666667,76.09541104377388,676.5003327850001,99.71433891824572,31,"1972-1973, 1975, 1993-2019, 2021","age 1: 50%, age 2: 50%"
9,Northeast River,47.270081,-53.837846,36.65384615384615,20.511347703536806,535.4086110923076,10.10480351210827,26,"1974, 1978, 1980-1986, 1988-1990, 1992-2000, 2015-2019",age 1: 100%
10,Rivière Saint-Jean,48.77437778,-64.42453056,141.66666666666666,134.29523088906777,649.554747665,110.94757272705012,33,"1988-2015, 2017-2021","age 1: 55%, age 2: 45%"
11,Rivière Trinité,49.418275,-67.31149722,110.27272727272727,129.11343812441146,644.2324054636363,102.09801348346643,39,1983-2021,"age 1: 51%, age 2: 49%"
12,Rivière aux Rochers,50.0225,-66.87404167,109.26190476190476,87.78828732470717,649.5480818285714,102.20877116753404,22,"1982-1985, 1987-2004","age 2: 52%, age 1: 48%"
13,Rocky River,47.225684,-53.564593,35.03448275862069,18.301995907200727,555.5012299448276,11.187358395088639,29,"1990-2014, 2016-2019",age 1: 100%
14,Saint John River,45.95542,-66.607509,280.7710843373494,207.09084405224985,675.5995393855421,100.50492481530624,42,1978-2019,"age 2: 51%, age 1: 49%"
15,Sand Hill River,53.58142899999999,-56.35112,129.06666666666666,159.73051168651645,646.29662386,96.69797431237045,25,"1971-1973, 1983, 1994-1996, 2002-2019","age 1: 56%, age 2: 44%"
16,Terra Nova River,48.66762,-54.002506,103.52941176470588,87.21211873466295,520.9663598058823,13.41549461874643,34,"1978-2001, 2005, 2011, 2014-2021",age 1: 100%
17,Torrent River,50.612932,-57.168795,80.69565217391305,86.30044494913669,542.4442915478261,17.466981781875855,23,"1980, 1983, 1985-2005",age 1: 100%
18,Western Arm Brook,51.190752,-56.753424,90.93877551020408,68.45022770940493,542.8432471285714,14.656514905820114,49,"1971-1975, 1977-1998, 2000-2021",age 1: 100%
