"year","area","landings.t","boats"
1923,"SFA22_24",0.182,NA
1924,"SFA22_24",0.177,NA
1925,"SFA22_24",0.523,NA
1926,"SFA22_24",1.922,NA
1927,"SFA22_24",0.669,NA
1928,"SFA22_24",0.533,NA
1929,"SFA22_24",0.956,NA
1930,"SFA22_24",2.215,NA
1931,"SFA22_24",0.519,NA
1932,"SFA22_24",0.702,NA
1933,"SFA22_24",0.51,NA
1934,"SFA22_24",0.693,NA
1935,"SFA22_24",0.688,NA
1936,"SFA22_24",0.496,NA
1937,"SFA22_24",0.679,NA
1938,"SFA22_24",0.674,NA
1939,"SFA22_24",0.67,NA
1940,"SFA22_24",2.529,NA
1941,"SFA22_24",4.207,NA
1942,"SFA22_24",0.469,NA
1943,"SFA22_24",0.464,NA
1944,"SFA22_24",1.426,NA
1945,"SFA22_24",15.243,NA
1946,"SFA22_24",6.317,NA
1947,"SFA22_24",4.536,NA
1948,"SFA22_24",7.711,NA
1949,"SFA22_24",0.436,NA
1950,"SFA22_24",11.793,NA
1951,"SFA22_24",10.886,NA
1952,"SFA22_24",100.289,NA
1953,"SFA22_24",35.843,NA
1954,"SFA22_24",24.948,NA
1955,"SFA22_24",18.461,NA
1956,"SFA22_24",123.241,NA
1957,"SFA22_24",116.477,NA
1958,"SFA22_24",92.704,NA
1959,"SFA22_24",47.898,NA
1960,"SFA22_24",6.563,NA
1961,"SFA22_24",8.801,NA
1962,"SFA22_24",25.544,NA
1963,"SFA22_24",98.217,NA
1964,"SFA22_24",230.019,NA
1965,"SFA22_24",377.937,NA
1966,"SFA22_24",255.601,NA
1967,"SFA22_24",454.294,NA
1968,"SFA22_24",890.566,NA
1969,"SFA22_24",639.835,NA
1970,"SFA22_24",627.099,NA
1971,"SFA22_24",534.875,NA
1972,"SFA22_24",424.375,NA
1973,"SFA22_24",259.461,NA
1974,"SFA22_24",165.433,NA
1975,"SFA22_24",244.154,NA
1976,"SFA22_24",337.317,327
1977,"SFA22_24",178.954,228
1978,"SFA22_24",252.658,273
1979,"SFA22_24",224.124,332
1980,"SFA22_24",190.165,256
1981,"SFA22_24",331.575,372
1982,"SFA22_24",205.934,340
1983,"SFA22_24",276.646,426
1984,"SFA22_24",189.15,418
1985,"SFA22_24",166.625,330
1986,"SFA22_24",167.958,357
1987,"SFA22_24",141.453,353
1988,"SFA22_24",138.955,282
1989,"SFA22_24",155.948,265
1990,"SFA22_24",134.974,329
1991,"SFA22_24",108.396,275
1992,"SFA22_24",119.236,298
1993,"SFA22_24",197.513,434
1994,"SFA22_24",226.181,477
1995,"SFA22_24",249.774,447
1996,"SFA22_24",249.071,451
1997,"SFA22_24",215.631,416
1998,"SFA22_24",185.313,423
1999,"SFA22_24",144.595,338
2000,"SFA22_24",184.228,357
2001,"SFA22_24",127.316,285
2002,"SFA22_24",71.671,205
2003,"SFA22_24",83.584,204
2004,"SFA22_24",103.392,188
2005,"SFA22_24",82.446,207
2006,"SFA22_24",83.245,187
2007,"SFA22_24",103.003,181
2008,"SFA22_24",93.628,169
2009,"SFA22_24",101.427,180
2010,"SFA22_24",82.496,186
2011,"SFA22_24",118.986,174
2012,"SFA22_24",115.345,181
2013,"SFA22_24",115.492,178
2014,"SFA22_24",88.807,164
2015,"SFA22_24",67.167,143
2016,"SFA22_24",58.556,145
2017,"SFA22_24",75.171,134
2018,"SFA22_24",83.437,137
2019,"SFA22_24",60.939,121
2020,"SFA22_24",64.051,112
2021,"SFA22_24",63.871,108
