pile.year,pile.all,brick,year,year.class,adult.spat,biomass,count
1,1,B,2023,0 year,Adult,0,0
1,1,B,2023,0 year,Spat,9.463,930
1,1,A,2023,0 year,Adult,0,0
1,1,A,2023,0 year,Spat,5.448,430
1,1,C,2023,0 year,Adult,0,0
1,1,C,2023,0 year,Spat,3.88,200
2,2,B,2023,0 year,Adult,0,0
2,2,B,2023,0 year,Spat,9.869,2240
2,2,A,2023,0 year,Adult,0,0
2,2,A,2023,0 year,Spat,3.503,400
2,2,C,2023,0 year,Adult,0,0
2,2,C,2023,0 year,Spat,11.44,1430
3,3,A,2023,0 year,Adult,0,0
3,3,A,2023,0 year,Spat,7.958,540
3,3,B,2023,0 year,Adult,0,0
3,3,B,2023,0 year,Spat,6.819,550
3,3,C,2023,0 year,Adult,0,0
3,3,C,2023,0 year,Spat,3.297,40
1,4,C,2022,1 year,Adult,9.5017,22
1,4,C,2022,1 year,Spat,1.595,190
1,4,B,2022,1 year,Adult,6.6466,8
1,4,B,2022,1 year,Spat,1.941,180
1,4,A,2022,1 year,Adult,16.027,29
1,4,A,2022,1 year,Spat,2.134,190
2,5,A,2022,1 year,Adult,8.12,10
2,5,A,2022,1 year,Spat,0,0
2,5,C,2022,1 year,Adult,0,0
2,5,C,2022,1 year,Spat,1.545,70
2,5,B,2022,1 year,Adult,10.058,9
2,5,B,2022,1 year,Spat,3.451,170
3,6,B,2022,1 year,Adult,3.99,3
3,6,B,2022,1 year,Spat,0.032,10
3,6,C,2022,1 year,Adult,3.9316,10
3,6,C,2022,1 year,Spat,1.446,120
3,6,A,2022,1 year,Adult,0,0
3,6,A,2022,1 year,Spat,3.114,90
1,7,B,2021,2 year,Adult,703.4,73
1,7,B,2021,2 year,Spat,1.747,510
1,7,C,2021,2 year,Adult,431.49,79
1,7,C,2021,2 year,Spat,4.312,430
1,7,A,2021,2 year,Adult,446.72,89
1,7,A,2021,2 year,Spat,3.095,430
2,8,C,2021,2 year,Adult,1208.48,134
2,8,C,2021,2 year,Spat,0.72,60
2,8,B,2021,2 year,Adult,1509.51,273
2,8,B,2021,2 year,Spat,0.405,140
2,8,A,2021,2 year,Adult,1068.86,125
2,8,A,2021,2 year,Spat,4.656,530
3,9,A,2021,2 year,Adult,1028.72,163
3,9,A,2021,2 year,Spat,1.25,150
3,9,B,2021,2 year,Adult,1428.01,194
3,9,B,2021,2 year,Spat,1.771,320
3,9,C,2021,2 year,Adult,790.33,147
3,9,C,2021,2 year,Spat,1.504,260
